北京	12964.2679	4854.3237
天津	13046.64432	4740.310102
上海	13523.09174	3661.353412
重庆	11859.97855	3450.956288
拉萨	10142.31881	3499.694207
乌鲁木齐	9760.492953	5429.917871
银川	11829.92229	4646.035476
呼和浩特	12428.82115	4985.82785
南宁	12059.24044	2612.680779
哈尔滨	14096.38712	5740.376657
长春	13953.89817	5446.890649
沈阳	13734.59877	5131.067337
石家庄	12743.85531	4583.664675
太原	12526.7823	4561.077416
西宁	11325.64499	4377.952638
济南	13024.38042	4390.432942
郑州	12645.89415	4131.313746
南京	13222.52912	3768.562396
合肥	13054.43669	3744.94745
杭州	13379.4896	3537.014392
福州	13280.41525	3008.992665
南昌	12900.81579	3334.97991
长沙	12579.10246	3275.475878
武汉	12724.93099	3570.567653
广州	12604.70594	2651.379434
兰州	11547.17078	4304.750112
西安	12128.25852	4065.114306
成都	11583.90621	3589.966113
贵阳	11878.90286	3069.850886
昆明	11435.85129	2880.658524
香港	12701.5539	2535.55462
澳门	12615.83789	2527.140459
台北	13525.31813	2881.887249
海口	12284.10581	2275.400353
